database_identifier	chemical_formula	smiles	inchi	metabolite_identification	chemical_shift	multiplicity	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	16K-008_CrAdj	16K-021_CrAdj	16K-030_CrAdj	16K-031_CrAdj	16K-033_CrAdj	16K-070_CrAdj	16K-072_CrAdj	16K-074_CrAdj	16K-077_CrAdj	16K-092_CrAdj	16K-096_CrAdj	16K-097_CrAdj	16K-099_CrAdj	16K-100_CrAdj	16K-103_CrAdj	16K-105_CrAdj	16K-106_CrAdj	16K-107_CrAdj	16K-108_CrAdj	16K-112_CrAdj	16K-114_CrAdj	16K-116_CrAdj	16K-121_CrAdj	16K-129_CrAdj	16K-136_CrAdj	16K-142_CrAdj	16K-149_CrAdj	16K-153_CrAdj	16K-158_CrAdj	16K-162_CrAdj	16K-183_CrAdj	16K-188_CrAdj	16K-190_CrAdj	16K-197_CrAdj	16K-215_CrAdj	16K-217_CrAdj	16K-227_CrAdj	16K-231_CrAdj	16K-233_CrAdj	16K-234_CrAdj	16K-239_CrAdj	16K-242_CrAdj	16K-250_CrAdj	16K-252_CrAdj	16K-262_CrAdj	16K-263_CrAdj	16K-271_CrAdj	16K-276_CrAdj	16K-278_CrAdj	16K-283_CrAdj	16K-290_CrAdj	16K-292_CrAdj	16K-301_CrAdj	16K-306_CrAdj	16K-307_CrAdj	16K-308_CrAdj	16K-311_CrAdj	16K-317_CrAdj	16K-318_CrAdj	16K-319_CrAdj	16K-321_CrAdj	16K-336_CrAdj	16K-340_CrAdj	16K-348_CrAdj	16K-351_CrAdj	16K-353_CrAdj	16K-354_CrAdj	16K-360_CrAdj	16K-365_CrAdj	16K-374_CrAdj	16K-381_CrAdj	16K-400_CrAdj	16K-402_CrAdj	16K-405_CrAdj	16K-414_CrAdj	16K-435_CrAdj	16K-436_CrAdj	16K-439_CrAdj	16K-440_CrAdj	16K-442_CrAdj	16K-452_CrAdj	16K-456_CrAdj	16K-458_CrAdj	16K-471_CrAdj	16K-476_CrAdj	16K-493_CrAdj	16K-496_CrAdj	16K-505_CrAdj	16K-522_CrAdj	16K-577_CrAdj	16K-581_CrAdj	16K-601_CrAdj	16K-606_CrAdj	16K-615_CrAdj	16K-630_CrAdj	16K-634_CrAdj	16K-638_CrAdj	16K-642_CrAdj	16K-644_CrAdj	16K-651_CrAdj	16K-667_CrAdj	16K-678_CrAdj	16K-685_CrAdj	16K-686_CrAdj	16K-688_CrAdj	16K-695_CrAdj	16K-711_CrAdj	16K-719_CrAdj	16K-724_CrAdj	16K-725_CrAdj	16K-730_CrAdj	16K-737_CrAdj	16K-743_CrAdj	16K-755_CrAdj	16K-756_CrAdj	16K-771_CrAdj	16K-785_CrAdj	N-1_CrAdj	N-10_CrAdj	N-11_CrAdj	N-12_CrAdj	N-13_CrAdj	N-14_CrAdj	N-15_CrAdj	N-16_CrAdj	N-17_CrAdj	N-18_CrAdj	N-19_CrAdj	N-2_CrAdj	N-20_CrAdj	N-21_CrAdj	N-22_CrAdj	N-23_CrAdj	N-24_CrAdj	N-25_CrAdj	N-26_CrAdj	N-27_CrAdj	N-28_CrAdj	N-29_CrAdj	N-3_CrAdj	N-30_CrAdj	N-31_CrAdj	N-32_CrAdj	N-33_CrAdj	N-34_CrAdj	N-35_CrAdj	N-36_CrAdj	N-37_CrAdj	N-38_CrAdj	N-39_CrAdj	N-40_CrAdj	N-41_CrAdj	N-42_CrAdj	N-43_CrAdj	N-44_CrAdj	N-45_CrAdj	N-46_CrAdj	N-47_CrAdj	N-48_CrAdj	N-49_CrAdj	N-5_CrAdj	N-50_CrAdj	N-6_CrAdj	N-7_CrAdj	N-8_CrAdj	N-9_CrAdj
CHEBI:16797	C7H9N2O+	C[n+]1cccc(c1)C(N)=O	InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1	1-Methylnicotinamide	4.468(s), 8.172(m), 8.89(d), 8.97(d), 9.28(s)		NCBI:txid9615	Canis lupus familiaris	800 MHz library of Chenomx NMR Suite	7.1								26.98398389	46.23784337	442.1834181	270.5353494	58.22595306	17.9910045	36.21182354	21.57372628	47.37038419	302.5650806	50.0688319	471.64857	120.4996	64.12869413	82.70356573	73.91136429	19.22222222	25.36231884	101.1797165	64.80313857	48.2475119	212.3835975	78.820582	14.71758154	57.19018695	18.42672414	179.2202038	39.10201762	24.22099594	39.23221333	82.94980199	570.263789	164.0774837	56.60637857	149.7948922	8.987268037	32.49722838	164.7889602	229.711298	29.58675028	26.81852418	49.48233861	668.3080559	41.70786188	35.22873023	43.58112315	209.0183856	24.59354626	50.27434536	44.15579132	354.2750726	176.3343135	128.7547529	99.22885008	38.5403504	553.4942821	20.33950145	132.3643339	133.4307954	16.42458101	79.02821427	99.50933724	56.74383493	260.0036711	90.01906082	13.6863648	8.154449685	316.4579931	19.88698585	18.81232224	71.72189182	29.54292085	12.71491403	41.21802346	15.96473462	29.50183748	481.7166373	27.91207374	37.2626049	27.13971532	26.95051523	299.0367463	62.25125252	83.72399903	37.34736295	60.53083827		26.35019201	110.7239031	18.58048609	8.21001419	54.61885538	104.4497942	23.42330481	2.023438159	175.3288876	23.14571278	140.4676661	47.8081104	25.94738595	26.28268785	74.37914672	18.07739747	232.0233396	238.8362249	123.4787771	27.10643209	24.27748151	220.1703765	49.6393637	27.9928952	25.06747943	95.08241384	71.20954398	24.30909381	26.5373754	122.4158897	29.12228244	19.55492584	336.5671642	28.16369769	17.46844615	17.1138346	20.13739802	39.40952508	70.53200987	20.90673455	68.81646062	15.75872358	9.140008309	126.4949502	28.60408993	18.07831588	22.1450595	842.6224227	33.83981906	35.29411765	26.484686	68.32888179	14.44880485	49.55364302	16.32473762	63.31570657	24.26818923	17.17756283	40.94181164	41.19140704	26.48753864	8.906985622	78.55012618	96.23391548	86.75163542	131.7669662	90.23853332	86.9775168	58.16368422	62.34762884	61.09700405	73.35966697	44.94973324	323.732306	60.39036065	9.809516046	28.08455857	245.6661844	1.664851828
CHEBI:1148	C4H8O3	CCC(O)C(O)=O	InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)	2-Hydroxybutyrate	0.904 (t), 1.658 (m), 1.738 (m), 4.006(m)		NCBI:txid9615	Canis lupus familiaris	800 MHz library of Chenomx NMR Suite	7.1								29.86868596	44.53164989	62.37682754	71.51614221	114.3666791	47.6011994	24.7365601	129.803525	47.03883294	42.91026986	59.1954316	102.1928891	281.4472398	105.4010773	58.38211815	54.60075311	60.77777778		29.28677893	30.15973098	54.30549546	136.7423624	77.53581294	21.57915672	46.14656464	43.96551724	65.57377049	12.38988349	23.29577372	10.74671469	122.4446109	16.46682654	122.6505562	5.522573519	20.37845706	40.6923525	28.61696231	28.13864482	24.21004774	17.52693359	11.80015064	54.50669915	132.952531	39.4009301	10.8593416	72.71821691	35.59889057	40.52158125	31.00325646	15.61371566	203.0454072	55.86741513	68.03707224	60.55794965	9.511287183	83.3545108	17.48483458	3.39395728	3.239954167	3.351955307	66.98682863	23.41999268	33.09008556	55.43318649	29.08941258	126.4176686	48.79446379	39.10361096	47.52726795	22.08477538	19.75361088	16.28886411	231.5873651	58.6379535	48.54947281	64.31196407	22.57495591	68.0074776	64.71559079	19.51860224	29.63046843	11.9158045	18.30781477	13.82088412	44.75188361	21.72045064	121.3808463	47.92058175	10.13781087	315.8682635		9.244495709	30.98547798	13.85121791	15.85026558	48.31469421	55.40943363	25.36921011	14.8818488	15.5977356	16.02118504	22.45136906	55.92815294	71.9066415	71.36469326	247.8480261	25.88227064	12.68708068	37.92250618	47.09020848	37.30017762	15.09731245	38.00572129	23.52437486	15.28526353	15.88631997	13.8494798	69.73774372	17.38465517	44.40298507	7.171819256	10.64361041	18.34676677	16.04765994	16.11448801	8.009033139	2.972264043	9.015796169	23.42368097	7.547431104	16.1335669	23.42182141	6.213980752	22.90868225	7.087628866	32.44794989	17.39891987	10.5033483	19.28848749	12.48662148	7.376917731	15.44616992	11.58865887	24.96401712	9.631704873	14.69706059	25.51287735	30.91485058	12.85150783	3.257627896	4.37084346	5.26912294	10.14669682	4.911946379	7.378505756	5.119659977	5.745055225	3.118573373	4.635980888	3.139404058	9.317326644	6.499133449	35.37947338	59.42983942	32.09259503	7.451336831
CHEBI:50129	C4H8O3	CC(C)(O)C(O)=O	InChI=1S/C4H8O3/c1-4(2,7)3(5)6/h7H,1-2H3,(H,5,6)	2-Hydroxyisobutyrate	1.35(S)		NCBI:txid9615	Canis lupus familiaris	800 MHz library of Chenomx NMR Suite	7.1								11.83929806	19.62122505	18.79096201	16.75521046	23.63257231	20.23988006	15.71709234	19.743812	19.27141614	24.26814151	13.15454036	26.18692783	34.18081607	13.97583345	25.54550293	24.13826398	16.72222222	5.90445518	13.60479498	19.05562561	16.87581134	21.89184774	14.41082632	12.46353752	15.06665615	7.219827586	16.06114311	14.32225064	10.30961901	9.578177081	41.474901	23.02158273	37.49520522	15.87739887	61.26769882	12.06623949	12.54157428	16.38725675	11.3662196	5.788712012	11.41213795	15.60596833	33.09040772	11.31495112	10.94484823	15.44016934	15.66923055	19.43550384	32.65378953	2.156421967	37.02689379	13.54361579	15.87452471	23.92832842	6.676684539	28.46251588	5.420468641	5.422953481	5.729187246	41.67597765	15.99632755	12.54485536	23.77956719	20.28267254	13.1259747	19.82604247	23.53770882	8.437670114	27.59647816	10.26282425	13.09827244	8.939262562	20.39184326	11.17893149	40.44796569	4.287464271	41.74015285	4.447882421	10.32102094	14.52440589	9.134488355	25.04459508	9.692372524	14.61957843	19.61548454	12.72197823	15.55180094	13.03211047	25.50293046	40.24304333	0.4054328	6.649251959	14.05606896	0.855826201	7.419273248	21.84799813	8.241276521	15.77534124	5.36677528	7.259407259	7.401522675	13.51601175	11.62118409	4.290372404	4.590711262	11.27931137	15.49438635	9.203509376	24.95190987	13.25955933	16.76731794	6.935206829	56.94047133	8.632161165	6.973517821	7.311317714	12.83610323	16.78813929	6.02728019	25	8.279859242	2.682933994	7.489602885	5.914555603	5.360363369	7.903996639	3.36804855	7.200286529	9.523128875	10.42099432	16.1984472	10.68207799	11.54024997	2.550211797	5.960051546	10.38102418	8.028025106	7.067999025	12.14307349	10.16767749	8.232212541	5.758180178	8.086746175	12.37239184	7.566307437	11.99760048	17.69376486	12.82393802	13.72099928	11.12640514	3.183933382	8.90780029	10.00660436	6.883296097	9.425944526	8.222850105	7.970999131	6.478522395	8.20757841	6.659891845	16.08134743	7.262523727	7.853047472	12.43309167	12.20570827	3.329703656
CHEBI:48430	C6H10O3	CC(C)CC(=O)C(O)=O	InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)	2-Oxoisocaproate	0.9(d), 2.60(d)		NCBI:txid9615	Canis lupus familiaris	800 MHz library of Chenomx NMR Suite	7.1								4.837885754	5.203890121	4.903982767		4.491258087		1.384175746	8.234614273	3.812839322	5.578335082	4.818232805	5.322546306	8.356298338	5.022565148	2.767429484	2.848315149	6.111111111		1.316081565	5.254308533	3.678061445	8.985459892	2.655189396	3.314770618	5.206279088	5.603448276	5.759858219	1.93236715	4.626111093	1.302632083	2.301188055	2.238209432	4.219409283			5.74186569	3.880266075	1.563258045	4.432825642	4.341534009	1.300983726	0.837393423	6.696868229	3.368852759	1.710132535	10.70850454	4.060275069	5.199306759	2.141232101	0.29498225	11.77630498	3.831417625	4.729087452	4.876389204	1.263618046		1.495301694	0.95916184	1.106325813	2.234636872	4.131501819	1.003295496	2.642174132	6.516152717	4.505285046	14.49646116	2.997311236	6.199721769	4.862236629	3.306719666	8.49617672	2.229654404	9.43622551	3.086208079	3.455054506	5.206206615	1.881246326	3.352027332	4.695599619	2.626916733	3.170648851	1.070281841	2.317741256	3.715664826	2.792933229	2.052701929	3.839950849	2.287768609		19.28495949		1.085592157	3.805234138	3.818301514	5.227215243	5.319286956	0.876731545	2.601253077	1.519673612	2.584082584	2.158225753	1.232463077	9.693956213	6.178136262	6.081201932	7.123775601	5.176454129	1.268708068	3.352569387	3.062938445	4.547069272	1.213984063	3.814194251	3.772231286	1.399614492	0.889737076	1.688960951	8.316202579	1.585534528		0.535755598	0.665837634	1.177726252	0.16101331	0.76815176	1.378604065	0.799329494	1.55615112	1.268559381		1.448993274	3.251619459	1.254068678	1.772181079		6.524386708	3.094438768	2.355999675	2.849905003			1.875860759	0.956345635	1.820590786	1.472362528	2.799440112	3.143766878		4.62314968	2.202339986	2.675257635	1.749746486	1.841215202		0.753302944	1.835349803		0.202755544	1.951369507	1.1069575	1.478229708	1.114137163	4.293361593	4.124601938	3.840589241	0.539951944
CHEBI:48526	C9H10O2	CC(C(O)=O)c1ccccc1	InChI=1S/C9H10O2/c1-7(9(10)11)8-5-3-2-4-6-8/h2-7H,1H3,(H,10,11)	2-Phenylpropionate	1.397 (d)		NCBI:txid9615	Canis lupus familiaris	800 MHz library of Chenomx NMR Suite	7.1								3.215240843	4.265483706	5.91227829	10.62525541	10.15879805	137.9310345	4.554384712	9.294038332	9.697873928	8.105273195	4.461326671	7.948335817	3.155836074	15.72281264	23.25705162	22.1106498	14.16666667	4.428341385	1.601496845	6.059969175		12.41627185	3.875720006	3.082736675	6.231758302	8.620689655	3.212228622	3.637396988	5.386115058	0.632159687	17.87434443		23.11085539	14.9109485	28.58277094	4.909711242	1.801552106	13.69198426			20.31360555	8.602314251	8.666535356	3.661796477	2.479692176	5.603287262	5.775884254	10.60493521	3.747156176	2.237796381	5.586898176	9.088479016	5.513307985	19.05193922	2.697995287	3.303684879	2.701738288	2.47168628	2.805326169		3.142766341	4.232881728	14.343231	2.569750367	7.581008491	11.00025582	12.43002601	4.808564689	7.884708047	2.758455265	4.318889833	5.243816838	3.758496601	0.548659214	0.893548579	8.370763577	11.52263374	8.637916586	22.59466747	4.536013196	5.907220775	6.635747413	2.107037505	2.74334132	7.144712912	4.869199924	2.841563628	6.822452815	10.77142405	9.686509334		3.782610171	7.0668634	1.474654378	6.997723632	6.876151431	8.065930212	1.901991497	5.134032474	2.863802864	2.820258193	7.209909003	1.522510022	16.01739031	16.39539736	35.91570199	2.133538526	6.128505075	9.178345699	3.695287027	4.404973357	2.737921504	12.80479499	5.149211419	2.688733103	2.836842852	4.323740035	10.21615897	1.810433042	31.71641791	2.654425463	1.772303113	4.379669501	1.781880635	2.638434306	2.849115067	1.490012262	1.852560857	3.269667137	3.289018142	5.082289842	3.048393243	1.902239006	2.204420367	4.18814433	2.812735603	3.941030506	3.110383807	1.955007297	7.670353193	3.260811461	1.009165598	38.25382538	2.640333235	3.967199035	7.548490302	9.310386522	4.599061105	20.59210247	6.997017665	8.13881196	11.17451733	8.085336322	3.663424892	2.762110793	2.113067208	1.886752454	1.071707878	2.944793983		4.031535567	2.063216968	10.67905763	1.329697134	5.813494673	4.886565096
CHEBI:37084	C5H10O3	CC(C)(O)CC(O)=O	InChI=1S/C5H10O3/c1-5(2,8)3-4(6)7/h8H,3H2,1-2H3,(H,6,7)	3-Hydroxyisovalerate	1.26(s), 2.35(s)		NCBI:txid9615	Canis lupus familiaris	800 MHz library of Chenomx NMR Suite	7.1								2.854653085	5.118580447	11.91621981	10.21659174	13.68764369	16.11694153	3.795320593	4.189540595	1.450536699	5.673691237	6.373323816	9.722517919	40.22579785	6.76954433	15.06120277	14.38640533	4.888888889	0.805152979	3.694542226	2.907384055	6.057983557	13.72324784	8.136870731	1.491646778	23.98043701	2.801724138	13.84581303	19.09633419	4.361761887	1.953948125	8.830140212	14.86810552	8.918296893	1.932900732	2.646552865	2.829325123	2.979490022	11.26623902	3.296203683	1.286380447	2.579143177	3.425700365	12.21193618	5.968728258	4.018811458	9.961399577	2.344665885	15.3090699	7.360485346	3.193945744	19.33504957	4.811547715	1.63973384	4.876389204	2.680919368	18.80559085	3.551341524	1.21739772	0.51365127	2.234636872	7.062396271	2.716953497	2.642174132	5.598384728	5.69658638	9.550609704	3.4380923	1.300429444	2.715843883	2.261590652	3.398470688	0.516123705	99.96001599	7.201152184	14.05849765	2.449979584	1.646090535	2.836330819	3.114902717	2.138188038	4.755973276	0.856225473	2.762560285	1.145952703	1.299038711	1.026350964	12.01904616	3.063975815	4.435292254	44.64600211		0.814194117	3.57226062	0.64516129	1.854818312	11.36511067	6.487813432	3.132691877	0.684537663	8.071928072	8.315127441	3.389273463	13.43277829	6.692980951	6.438919692	2.968239834	2.413346857	4.02115947	9.782907392	4.307874716	3.765541741	7.929640583	4.359079145	4.003656519	8.09075395	8.330002192	5.066882854	13.48657572	5.892341081	9.701492537	1.777734484	0.695212823	4.931728681	5.753542293	13.62634427	3.715666194	1.133030157	2.680038039	6.592935375	5.193186539	2.962866844	3.9248063	3.071763728	5.691150621	0.966494845	4.175607493	3.006860312	3.609437926	3.139025801	3.92436675	0.534559256	3.336182742	4.24729973	2.77377968	2.515285986	5.448910218	7.214541937	5.266974543	15.96895279	1.927047488	0.998511652	1.35207683	1.821201993	0.509265344	0.656725643	1.436885701	0.55118611	0.328270881	1.20630115	1.433600697	3.583587171		34.23820005	4.480317095	5.971327108	0.494955949
CHEBI:43355	C8H7NO4S	OS(=O)(=O)Oc1c[nH]c2ccccc12	InChI=1S/C8H7NO4S/c10-14(11,12)13-8-5-9-7-4-2-1-3-6(7)8/h1-5,9H,(H,10,11,12)	3-Indoxylsulfate	7.188(t), 7.261(t), 7.350(s), 7.487(d), 7.687(d)		NCBI:txid9615	Canis lupus familiaris	800 MHz library of Chenomx NMR Suite	7.1								102.767511	19.36529602	53.53132591	20.84184716	94.74415869	96.32683658	109.7070906	134.9802562	44.80086203	24.36349766	121.6285117		4.311494355				113.8333333	23.48362856	22.02454571	36.35981505	38.07875379	52.60578337	33.25410591	62.68231238	60.58215666	15.84051724	21.48870182	60.41489059	31.95321019	20.84211333	12.25516429	80.25579536	1.534330648	7.869667265	74.50046315	63.41016893	24.32095344	97.89229691	36.5992271	49.52564721	7.509186771	42.32643118	2.65905062	30.46614669	72.76613938	77.20084672	32.65376147	7.633902781	58.48240175	4.587482581	75.09448431	14.88015682	23.09885932	23.13449762	5.874116321	199.4917408	6.338040135		0.632186179	64.58100559	84.07782761	3.449285976	48.06240564	16.88693098	25.38554843	72.9939456	39.09728038	31.9058852	25.66910509	31.06260494	36.17955253	8.85668277		44.44139634	31.75075952		99.23574368	0.193386192	89.98349566	63.38200257	35.3489601	23.83160899	37.45844454	57.81852276	11.10678098	8.807523391	9.446279088	4.330419152	77.77601774		6.385566592	77.26362927	9.707229945	33.16655695	48.05665627	8.536806871		26.06847169	65.89359547	27.23942724	27.60675273	53.07807654	22.16312057	57.66260511	57.6521791		31.79322164		28.41439956	19.54352337	15.41740675	26.86262608		7.637032666	26.75228051	27.94290209	5.53979192	28.03214352	5.228890463	85.07462687	82.99341264	2.536058045	14.26152884	4.884070416	14.31100127	10.92379602	14.17839793	19.74829873	27.44376351	12.04819277	17.73394753	48.53296075	52.7977004	2.175604415	7.731958763	97.77880879	101.853744	29.21207479	20.25222348	71.53050303	40.30576789	7.550933181	4.359810981	31.31225515	43.86413366	22.94541092	56.70871791	38.03289951	31.89549137	86.35008029	21.79769777	23.40285924	19.71301059	35.0078854	25.2646218	53.40626434	32.4563821	26.12650015	33.74095274	56.14633615	7.077584662	29.05009491	12.55400668	37.81590894	33.3552545	18.54734929
CHEBI:35932	C6H10O3	CCC(C)C(=O)C(O)=O	InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)	3-Methyl-2-oxovalerate	0.88(t), 1.09(d)		NCBI:txid9615	Canis lupus familiaris	800 MHz library of Chenomx NMR Suite	7.1								5.46891433	8.360348063	7.424721573	8.173273396	14.7035235		5.000893017	16.71000674		6.293506246	8.463774027	10.78702718	16.04587074	12.01048188	4.52368281	4.393164044	9.666666667	6.172839506	4.519075254	5.534538321	8.005192557	10.29243588	3.661591829	2.95014585	6.862822434	6.034482759	7.089056269	4.319408923	7.335690447	3.218267499	14.55635235	4.636290967	11.79516686	5.660637857	4.102156941	7.82225181	3.880266075	4.905395936	5.683109798	27.3355845	3.241047178	2.664433618	11.91648611	8.239042074	3.676784951	12.20271448	5.518542876	10.02723446	5.932997279	3.102399528	14.46020704	8.642965339	5.085551331	15.64980721	3.756702298	9.911054638	3.823214559	0.66403512	0.671697815	1.899441341	10.34641054	4.716221164	7.674886764	11.01321586		16.67093033	4.275576321	6.804572673	5.913531035	5.705376418	8.425375248	3.612865932	14.31427429	7.955558604	10.54387324	4.593711719	3.880070547	4.834654806	7.089890513	2.749098906	4.642735817	1.783803068	4.377955705	2.361357086	4.54663549	3.031315639	11.48145304	6.046245608	2.534452717	38.56991899	1.216298399	4.562879533	9.008309389		5.227215243	8.692493318	6.137120814	5.230476617	2.149448263	4.249084249	4.289970209		8.113629356	7.722670328	6.438919692	8.904719501	5.736070792	2.558919663	5.386095081	6.442051181	5.896980462	3.409487156	9.399264405	2.464678724	2.909724865	3.068948176	2.634779084	9.344047842	3.339742941	6.343283582	4.346926102	0.548336875	3.643590593	3.263203091	3.256295505	1.956304816	1.567617067	3.001148588	3.037395701	2.319623321	3.157507732	4.902832465	2.085417577		1.771907216	7.278315838	6.480805722	3.319290183	5.094033097	3.032465216	2.084781098	2.944389039	5.147389739	5.833516028	2.351690149	3.899220156	7.013018419	7.003549483	4.389871485					0.72282823	3.013211775	3.054891449		1.342048603	4.19840106	3.066816681	2.777280057		4.700959213	9.045328274	5.208470341	0.710936727
CHEBI:18101	C8H8O3	OC(=O)Cc1ccc(O)cc1	InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)	4-Hydroxyphenylacetate	3.437(s), 6.850(d), 7.154(d)		NCBI:txid9615	Canis lupus familiaris	800 MHz library of Chenomx NMR Suite	7.1								19.92247363	9.810612523	16.77437096	22.88516551	4.972464311	27.73613193	5.983211288	13.65212366	27.10431431	40.28797559	40.53433947	55.2835143	43.38163392	19.580725	78.92496009	74.63551221	33.11111111		3.916531887	2.346924478	45.43487668	27.44649567	3.982784095	18.99363564	25.95251242	3.879310345	10.74435091	6.024438761	14.30790074	3.735489062	23.97516858	8.633093525	19.85040276		24.480614	3.661479571	4.4345898	18.5973802	22.5051148	2.090368226	4.975692146	14.92082826	6.992318298	14.7570398	8.208636169	7.222014693	9.292883081	4.208962615	28.19288933	15.17632818	29.57769623	33.59173127	8.293726236	34.58834203	6.471773505	60.22871665	8.054238671	6.787914561	6.163815244		44.91684028	7.594287807	16.60795169	8.076358297	19.40738174	103.6923339	21.02525675	19.96007984	27.55267423	4.882979817	29.66581705	9.579255956	4.398240704	30.38200398	11.73527134	8.47284606	15.99059377	10.7651647	5.276738185	4.536013196	24.55365568	8.562254727	16.76265393	5.069972567	5.001299039	13.12774489	10.71346287	9.600457554	6.811341676	19.19690032		4.325406249	7.0668634	10.82290981	16.27181519	19.22727627	39.1022269	5.006712911	5.394156787	10.28305028	10.67196293	24.05357106	128.526827	16.81825982	16.93197401	18.40308697	4.162148928	4.472733528	29.78840341	11.04633929	7.460035524	10.11222895	13.89456477	11.61754666	10.09195713	10.7671081	28.2394271	38.06142154	11.22243588	84.70149254	10.52029174	7.304630509	20.79422914	10.43366252	28.53850778	12.82758258	2.669605302	16.95710704	9.201522271	18.38388035	11.5270659	18.84923155	19.33238456	64.5621416	13.85309278	10.20704054	9.458473216	7.485811775	21.24349478	12.12986086	2.458972577	9.296196039	9.029027903	5.681005805	17.03441647	36.54269146	38.28946838	44.25403611	35.86122068	11.7687543	5.72731212	11.39323564	19.25270679	3.482717834	5.717376188	2.922070081	2.861927879	2.587546948	5.333743318	6.659891845	24.1892134	3.012296773	15.89630717	21.00413307	19.20294621	2.492778143
CHEBI:15366	C2H4O2	CC(O)=O	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)	Acetate	1.909(s)		NCBI:txid9615	Canis lupus familiaris	800 MHz library of Chenomx NMR Suite	7.1								22.47663692	22.52175397	85.1093084	47.4049857	142.6509116	38.23088456	17.32452224	31.95126649	48.65514526	96.73881949	62.58603987	20.72244695	44.49284381	35.95865483	73.7094199	68.79405233	115.8888889	15.56629093	24.83112929	30.790248	37.64604068	57.34357131	22.65476114	19.55714665	60.81880571	40.19396552	35.77758086	21.02870134	79.46997984	11.20646719	154.7147597	28.93685052	229.2865362	19.05287864	63.91425169	53.34110011	41.22782705	36.60180044	320.6410548	15.59736292	21.82000776	1080.237515	19.99212133	68.65868395	38.47798204	33.61972357	99.76267406	98.25039201	23.19668109	7.740741117	26.45560607	69.05461998	26.30703422	437.62758	15.77814965	39.64421855	39.30264566	4.906481721	5.808210518		56.85228998	51.84913951	126.6985405	27.16593245	54.28002079	99.98294534	46.37016794	26.85538015	16.99592623	25.88835966	136.009629	23.8655601	22.63094762	43.41266031	24.72151069	14.39363005	768.489124	21.91710179	65.20374718	41.54193903	67.09319443	455.5833036	16.57536171	35.45508213	49.68823071	30.19381325	15.62859995	21.0393006	24.86931728	109.5456147	4.257044395	13.82433762	36.11089539	67.78143515	24.2812579	34.64023457	6.838506049	17.03401208	17.00391556	28.7978688	37.93445879	87.15568063	23.01110083	95.875522	91.69498599	47.19501336	23.67878004	22.0841218	112.0087936	92.79715443	22.23801066	39.18327285	93.99264405	45.0353502	43.51082246	44.7705381	23.98324551	117.1432131	19.77982435	65.29850746	13.94182181	10.70236079	68.80497589	17.5289824	31.54431902	18.15818497	10.77154697	16.26548432	25.19251729	10.59410054	26.34140012	51.94970151	16.76788457	34.82407861	13.69201031	41.46610219	22.91636257	18.95245059	37.1589063	15.16232608	8.873683648	37.00669611	28.50753825	24.48742267	22.35128116	12.4975005	45.86675265	34.04450212	14.5056623	14.81991282	10.62567117	17.39804744	20.33342006	8.279668813	10.68144943	6.435798981	8.585783638	5.059233584	7.876436918	7.40391246	10.84035119	9.408269374	50.13450721	10.34961718	28.90964093	7.334347243
